year,location,type_of_crime,incidents,rate_per_100k
2000,Yukon ,Impaired driving,330,1084.78
2000,Yukon ,Motor vehicle theft,242,795.5
2000,Yukon ,Prostitution,0,0
2000,Yukon ,Robbery,13,42.73
2000,Yukon ,Sexual violations against children,0,0
2000,Yukon ,"Theft over $5,000",31,101.9
2000,Yukon ,"Theft under $5,000",1264,4155.02
2000,Yukon ,Trespass,27,88.75
2000,Yukon ,Weapons violations,57,187.37
2001,Alberta ,Attempted murder,32,1.05
2001,Alberta ,Counterfeiting,152,4.97
2001,Alberta ,Drug violations,7221,236.13
2001,Alberta ,Firearms related crime,221,7.23
2001,Alberta ,Fraud,11782,385.28
2001,Alberta ,Homicide,70,2.29
2001,Alberta ,Impaired driving,13265,433.78
2001,Alberta ,Motor vehicle theft,17467,571.19
2001,Alberta ,Prostitution,1175,38.42
2001,Alberta ,Robbery,3074,100.52
2001,Alberta ,Sexual violations against children,0,0
2001,Alberta ,"Theft over $5,000",1781,58.24
2001,Alberta ,"Theft under $5,000",74196,2426.28
2001,Alberta ,Trespass,387,12.66
2001,Alberta ,Weapons violations,1576,51.54
2001,British Columbia ,Attempted murder,96,2.36
2001,British Columbia ,Counterfeiting,83,2.04
2001,British Columbia ,Drug violations,23180,568.66
2001,British Columbia ,Firearms related crime,366,8.98
2001,British Columbia ,Fraud,12314,302.09
2001,British Columbia ,Homicide,84,2.06
2001,British Columbia ,Impaired driving,11304,277.31
2001,British Columbia ,Motor vehicle theft,33253,815.77
2001,British Columbia ,Prostitution,1159,28.43
2001,British Columbia ,Robbery,5204,127.67
2001,British Columbia ,Sexual violations against children,0,0
2001,British Columbia ,"Theft over $5,000",2406,59.02
2001,British Columbia ,"Theft under $5,000",159148,3904.26
2001,British Columbia ,Trespass,1087,26.67
2001,British Columbia ,Weapons violations,3301,80.98
2001,Manitoba ,Attempted murder,28,2.43
2001,Manitoba ,Counterfeiting,35,3.04
2001,Manitoba ,Drug violations,2482,215.56
2001,Manitoba ,Firearms related crime,189,16.41
2001,Manitoba ,Fraud,2824,245.26
2001,Manitoba ,Homicide,34,2.95
2001,Manitoba ,Impaired driving,3454,299.97
2001,Manitoba ,Motor vehicle theft,13200,1146.39
2001,Manitoba ,Prostitution,222,19.28
2001,Manitoba ,Robbery,2041,177.26
2001,Manitoba ,Sexual violations against children,0,0
2001,Manitoba ,"Theft over $5,000",492,42.73
2001,Manitoba ,"Theft under $5,000",28289,2456.84
2001,Manitoba ,Trespass,128,11.12
2001,Manitoba ,Weapons violations,887,77.03
2001,New Brunswick ,Attempted murder,3,0.4
2001,New Brunswick ,Counterfeiting,20,2.67
2001,New Brunswick ,Drug violations,2622,349.69
2001,New Brunswick ,Firearms related crime,73,9.74
2001,New Brunswick ,Fraud,2487,331.69
2001,New Brunswick ,Homicide,8,1.07
2001,New Brunswick ,Impaired driving,2437,325.02
2001,New Brunswick ,Motor vehicle theft,1732,230.99
2001,New Brunswick ,Prostitution,32,4.27
2001,New Brunswick ,Robbery,183,24.41
2001,New Brunswick ,Sexual violations against children,0,0
2001,New Brunswick ,"Theft over $5,000",399,53.21
2001,New Brunswick ,"Theft under $5,000",11376,1517.2
2001,New Brunswick ,Trespass,192,25.61
2001,New Brunswick ,Weapons violations,273,36.41
2001,Newfoundland and Labrador,Attempted murder,7,1.34
2001,Newfoundland and Labrador,Counterfeiting,5,0.96
2001,Newfoundland and Labrador,Drug violations,922,176.62
2001,Newfoundland and Labrador,Firearms related crime,40,7.66
2001,Newfoundland and Labrador,Fraud,1357,259.95
2001,Newfoundland and Labrador,Homicide,1,0.19
2001,Newfoundland and Labrador,Impaired driving,1121,214.74
2001,Newfoundland and Labrador,Motor vehicle theft,636,121.83
2001,Newfoundland and Labrador,Prostitution,6,1.15
2001,Newfoundland and Labrador,Robbery,72,13.79
2001,Newfoundland and Labrador,Sexual violations against children,0,0
2001,Newfoundland and Labrador,"Theft over $5,000",116,22.22
2001,Newfoundland and Labrador,"Theft under $5,000",6744,1291.87
2001,Newfoundland and Labrador,Trespass,107,20.5
2001,Newfoundland and Labrador,Weapons violations,135,25.86
2001,Northwest Territories ,Attempted murder,4,9.79
2001,Northwest Territories ,Counterfeiting,2,4.9
2001,Northwest Territories ,Drug violations,242,592.5
2001,Northwest Territories ,Firearms related crime,22,53.86
2001,Northwest Territories ,Fraud,160,391.73
2001,Northwest Territories ,Homicide,4,9.79
2001,Northwest Territories ,Impaired driving,379,927.92
2001,Northwest Territories ,Motor vehicle theft,287,702.67
2001,Northwest Territories ,Prostitution,0,0
2001,Northwest Territories ,Robbery,17,41.62
2001,Northwest Territories ,Sexual violations against children,0,0
2001,Northwest Territories ,"Theft over $5,000",45,110.18
2001,Northwest Territories ,"Theft under $5,000",900,2203.51
2001,Northwest Territories ,Trespass,17,41.62
2001,Northwest Territories ,Weapons violations,59,144.45
2001,Nova Scotia ,Attempted murder,15,1.61
2001,Nova Scotia ,Counterfeiting,10,1.07
2001,Nova Scotia ,Drug violations,1991,213.52
2001,Nova Scotia ,Firearms related crime,72,7.72
2001,Nova Scotia ,Fraud,2922,313.37
2001,Nova Scotia ,Homicide,9,0.97
2001,Nova Scotia ,Impaired driving,2643,283.45
2001,Nova Scotia ,Motor vehicle theft,2733,293.1
2001,Nova Scotia ,Prostitution,97,10.4
2001,Nova Scotia ,Robbery,708,75.93
2001,Nova Scotia ,Sexual violations against children,0,0
2001,Nova Scotia ,"Theft over $5,000",272,29.17
2001,Nova Scotia ,"Theft under $5,000",19363,2076.56
2001,Nova Scotia ,Trespass,168,18.02
2001,Nova Scotia ,Weapons violations,512,54.91
2001,Nunavut ,Attempted murder,1,3.55
2001,Nunavut ,Counterfeiting,1,3.55
2001,Nunavut ,Drug violations,229,813.96
2001,Nunavut ,Firearms related crime,16,56.87
2001,Nunavut ,Fraud,92,327.01
2001,Nunavut ,Homicide,3,10.66
2001,Nunavut ,Impaired driving,124,440.75
2001,Nunavut ,Motor vehicle theft,243,863.72
2001,Nunavut ,Prostitution,0,0
2001,Nunavut ,Robbery,12,42.65
2001,Nunavut ,Sexual violations against children,0,0
2001,Nunavut ,"Theft over $5,000",31,110.19
2001,Nunavut ,"Theft under $5,000",476,1691.9
2001,Nunavut ,Trespass,10,35.54
2001,Nunavut ,Weapons violations,44,156.39
2001,Ontario ,Attempted murder,268,2.25
2001,Ontario ,Counterfeiting,1012,8.51
2001,Ontario ,Drug violations,28147,236.6
2001,Ontario ,Firearms related crime,780,6.56
2001,Ontario ,Fraud,30321,254.87
2001,Ontario ,Homicide,170,1.43
2001,Ontario ,Impaired driving,21480,180.55
2001,Ontario ,Motor vehicle theft,49331,414.66
2001,Ontario ,Prostitution,1548,13.01
2001,Ontario ,Robbery,10198,85.72
2001,Ontario ,Sexual violations against children,0,0
2001,Ontario ,"Theft over $5,000",8144,68.46
2001,Ontario ,"Theft under $5,000",208684,1754.14
2001,Ontario ,Trespass,1188,9.99
2001,Ontario ,Weapons violations,4523,38.02
2001,Prince Edward Island ,Attempted murder,1,0.73
2001,Prince Edward Island ,Counterfeiting,1,0.73
2001,Prince Edward Island ,Drug violations,276,201.96
2001,Prince Edward Island ,Firearms related crime,6,4.39
2001,Prince Edward Island ,Fraud,371,271.47
2001,Prince Edward Island ,Homicide,2,1.46
2001,Prince Edward Island ,Impaired driving,546,399.52
2001,Prince Edward Island ,Motor vehicle theft,273,199.76
2001,Prince Edward Island ,Prostitution,0,0
2001,Prince Edward Island ,Robbery,25,18.29
2001,Prince Edward Island ,Sexual violations against children,0,0
2001,Prince Edward Island ,"Theft over $5,000",62,45.37
2001,Prince Edward Island ,"Theft under $5,000",2595,1898.83
2001,Prince Edward Island ,Trespass,32,23.42
2001,Prince Edward Island ,Weapons violations,36,26.34
2001,Quebec ,Attempted murder,246,3.33
2001,Quebec ,Counterfeiting,346,4.68
2001,Quebec ,Drug violations,19109,258.36
2001,Quebec ,Firearms related crime,259,3.5
2001,Quebec ,Fraud,17537,237.1
2001,Quebec ,Homicide,140,1.89
2001,Quebec ,Impaired driving,19012,257.05
2001,Quebec ,Motor vehicle theft,41212,557.2
2001,Quebec ,Prostitution,682,9.22
2001,Quebec ,Robbery,7985,107.96
2001,Quebec ,Sexual violations against children,0,0
2001,Quebec ,"Theft over $5,000",6498,87.85
2001,Quebec ,"Theft under $5,000",117104,1583.27
2001,Quebec ,Trespass,296,4
2001,Quebec ,Weapons violations,948,12.82
2001,Saskatchewan ,Attempted murder,23,2.3
2001,Saskatchewan ,Counterfeiting,69,6.9
2001,Saskatchewan ,Drug violations,2819,281.84
2001,Saskatchewan ,Firearms related crime,126,12.6
2001,Saskatchewan ,Fraud,4185,418.41
2001,Saskatchewan ,Homicide,27,2.7
2001,Saskatchewan ,Impaired driving,6672,667.05
2001,Saskatchewan ,Motor vehicle theft,7989,798.72
2001,Saskatchewan ,Prostitution,165,16.5
2001,Saskatchewan ,Robbery,1209,120.87
2001,Saskatchewan ,Sexual violations against children,0,0
2001,Saskatchewan ,"Theft over $5,000",577,57.69
2001,Saskatchewan ,"Theft under $5,000",29622,2961.55
2001,Saskatchewan ,Trespass,154,15.4
2001,Saskatchewan ,Weapons violations,633,63.29
2001,Yukon ,Attempted murder,1,3.32
2001,Yukon ,Counterfeiting,1,3.32
2001,Yukon ,Drug violations,155,513.99
2001,Yukon ,Firearms related crime,17,56.37
2001,Yukon ,Fraud,134,444.36
2001,Yukon ,Homicide,1,3.32
2001,Yukon ,Impaired driving,281,931.82
2001,Yukon ,Motor vehicle theft,239,792.55
2001,Yukon ,Prostitution,1,3.32
2001,Yukon ,Robbery,28,92.85
2001,Yukon ,Sexual violations against children,0,0
2001,Yukon ,"Theft over $5,000",22,72.95
2001,Yukon ,"Theft under $5,000",1092,3621.17
2001,Yukon ,Trespass,22,72.95
2001,Yukon ,Weapons violations,37,122.7
2002,Alberta ,Attempted murder,42,1.34
2002,Alberta ,Counterfeiting,201,6.43
2002,Alberta ,Drug violations,7529,240.67
2002,Alberta ,Firearms related crime,260,8.31
2002,Alberta ,Fraud,13202,422.01
2002,Alberta ,Homicide,70,2.24
2002,Alberta ,Impaired driving,12185,389.5
2002,Alberta ,Motor vehicle theft,17975,574.58
2002,Alberta ,Prostitution,854,27.3
2002,Alberta ,Robbery,2953,94.39
2002,Alberta ,Sexual violations against children,0,0
2002,Alberta ,"Theft over $5,000",1881,60.13
2002,Alberta ,"Theft under $5,000",80795,2582.66
2002,Alberta ,Trespass,442,14.13
2002,Alberta ,Weapons violations,1774,56.71
2002,British Columbia ,Attempted murder,85,2.07
2002,British Columbia ,Counterfeiting,92,2.24
2002,British Columbia ,Drug violations,22601,551.49
2002,British Columbia ,Firearms related crime,390,9.52
2002,British Columbia ,Fraud,13065,318.8
2002,British Columbia ,Homicide,126,3.07
2002,British Columbia ,Impaired driving,11294,275.59
2002,British Columbia ,Motor vehicle theft,35996,878.34
2002,British Columbia ,Prostitution,1792,43.73
2002,British Columbia ,Robbery,5150,125.67
2002,British Columbia ,Sexual violations against children,0,0
2002,British Columbia ,"Theft over $5,000",2229,54.39
2002,British Columbia ,"Theft under $5,000",161087,3930.7
2002,British Columbia ,Trespass,1049,25.6
2002,British Columbia ,Weapons violations,3559,86.84
2002,Manitoba ,Attempted murder,23,1.99
2002,Manitoba ,Counterfeiting,32,2.77
2002,Manitoba ,Drug violations,2687,232.32
2002,Manitoba ,Firearms related crime,167,14.44
2002,Manitoba ,Fraud,2592,224.1
2002,Manitoba ,Homicide,36,3.11
2002,Manitoba ,Impaired driving,3248,280.82
2002,Manitoba ,Motor vehicle theft,12116,1047.54
2002,Manitoba ,Prostitution,171,14.78
2002,Manitoba ,Robbery,1835,158.65
2002,Manitoba ,Sexual violations against children,0,0
2002,Manitoba ,"Theft over $5,000",488,42.19
2002,Manitoba ,"Theft under $5,000",28614,2473.95
2002,Manitoba ,Trespass,100,8.65
2002,Manitoba ,Weapons violations,900,77.81
2002,New Brunswick ,Attempted murder,4,0.53
2002,New Brunswick ,Counterfeiting,67,8.94
2002,New Brunswick ,Drug violations,2619,349.51
2002,New Brunswick ,Firearms related crime,68,9.07
2002,New Brunswick ,Fraud,2368,316.02
2002,New Brunswick ,Homicide,9,1.2
2002,New Brunswick ,Impaired driving,2356,314.41
2002,New Brunswick ,Motor vehicle theft,1566,208.99
2002,New Brunswick ,Prostitution,57,7.61
2002,New Brunswick ,Robbery,244,32.56
2002,New Brunswick ,Sexual violations against children,0,0
2002,New Brunswick ,"Theft over $5,000",317,42.3
2002,New Brunswick ,"Theft under $5,000",11803,1575.14
2002,New Brunswick ,Trespass,200,26.69
2002,New Brunswick ,Weapons violations,304,40.57
2002,Newfoundland and Labrador,Attempted murder,3,0.58
2002,Newfoundland and Labrador,Counterfeiting,7,1.35
2002,Newfoundland and Labrador,Drug violations,901,173.43
2002,Newfoundland and Labrador,Firearms related crime,47,9.05
2002,Newfoundland and Labrador,Fraud,1149,221.16
2002,Newfoundland and Labrador,Homicide,2,0.38
2002,Newfoundland and Labrador,Impaired driving,989,190.36
2002,Newfoundland and Labrador,Motor vehicle theft,586,112.79
2002,Newfoundland and Labrador,Prostitution,4,0.77
2002,Newfoundland and Labrador,Robbery,86,16.55
2002,Newfoundland and Labrador,Sexual violations against children,0,0
2002,Newfoundland and Labrador,"Theft over $5,000",150,28.87
2002,Newfoundland and Labrador,"Theft under $5,000",7382,1420.9
2002,Newfoundland and Labrador,Trespass,89,17.13
2002,Newfoundland and Labrador,Weapons violations,165,31.76
2002,Northwest Territories ,Attempted murder,0,0
2002,Northwest Territories ,Counterfeiting,1,2.4
2002,Northwest Territories ,Drug violations,375,900.04
2002,Northwest Territories ,Firearms related crime,16,38.4
2002,Northwest Territories ,Fraud,129,309.61
2002,Northwest Territories ,Homicide,4,9.6
2002,Northwest Territories ,Impaired driving,451,1082.44
2002,Northwest Territories ,Motor vehicle theft,338,811.23
2002,Northwest Territories ,Prostitution,3,7.2
2002,Northwest Territories ,Robbery,21,50.4
2002,Northwest Territories ,Sexual violations against children,0,0
2002,Northwest Territories ,"Theft over $5,000",25,60
2002,Northwest Territories ,"Theft under $5,000",1068,2563.3
2002,Northwest Territories ,Trespass,19,45.6
2002,Northwest Territories ,Weapons violations,62,148.81
2002,Nova Scotia ,Attempted murder,26,2.78
2002,Nova Scotia ,Counterfeiting,53,5.67
2002,Nova Scotia ,Drug violations,2367,253.15
2002,Nova Scotia ,Firearms related crime,98,10.48
2002,Nova Scotia ,Fraud,2426,259.46
2002,Nova Scotia ,Homicide,9,0.96
2002,Nova Scotia ,Impaired driving,2361,252.51
2002,Nova Scotia ,Motor vehicle theft,2622,280.42
2002,Nova Scotia ,Prostitution,132,14.12
2002,Nova Scotia ,Robbery,628,67.16
2002,Nova Scotia ,Sexual violations against children,0,0
2002,Nova Scotia ,"Theft over $5,000",262,28.02
2002,Nova Scotia ,"Theft under $5,000",17815,1905.32
2002,Nova Scotia ,Trespass,191,20.43
2002,Nova Scotia ,Weapons violations,501,53.58
2002,Nunavut ,Attempted murder,3,10.41
2002,Nunavut ,Counterfeiting,7,24.29
2002,Nunavut ,Drug violations,255,884.83
2002,Nunavut ,Firearms related crime,9,31.23
2002,Nunavut ,Fraud,89,308.82
2002,Nunavut ,Homicide,2,6.94
2002,Nunavut ,Impaired driving,130,451.09
2002,Nunavut ,Motor vehicle theft,203,704.4
2002,Nunavut ,Prostitution,4,13.88
2002,Nunavut ,Robbery,9,31.23
2002,Nunavut ,Sexual violations against children,0,0
2002,Nunavut ,"Theft over $5,000",18,62.46
2002,Nunavut ,"Theft under $5,000",609,2113.19
2002,Nunavut ,Trespass,3,10.41
2002,Nunavut ,Weapons violations,33,114.51
2002,Ontario ,Attempted murder,225,1.86
2002,Ontario ,Counterfeiting,1130,9.35
2002,Ontario ,Drug violations,29254,241.95
2002,Ontario ,Firearms related crime,691,5.71
2002,Ontario ,Fraud,33596,277.86
2002,Ontario ,Homicide,178,1.47
2002,Ontario ,Impaired driving,20617,170.51
2002,Ontario ,Motor vehicle theft,46179,381.93
2002,Ontario ,Prostitution,1650,13.65
2002,Ontario ,Robbery,10123,83.72
2002,Ontario ,Sexual violations against children,0,0
2002,Ontario ,"Theft over $5,000",7242,59.9
2002,Ontario ,"Theft under $5,000",212125,1754.4
2002,Ontario ,Trespass,1126,9.31
2002,Ontario ,Weapons violations,4107,33.97
2002,Prince Edward Island ,Attempted murder,2,1.46
2002,Prince Edward Island ,Counterfeiting,11,8.04
2002,Prince Edward Island ,Drug violations,342,249.86
2002,Prince Edward Island ,Firearms related crime,2,1.46
2002,Prince Edward Island ,Fraud,437,319.27
2002,Prince Edward Island ,Homicide,1,0.73
2002,Prince Edward Island ,Impaired driving,545,398.17
2002,Prince Edward Island ,Motor vehicle theft,244,178.26
2002,Prince Edward Island ,Prostitution,2,1.46
2002,Prince Edward Island ,Robbery,18,13.15
2002,Prince Edward Island ,Sexual violations against children,0,0
2002,Prince Edward Island ,"Theft over $5,000",69,50.41
2002,Prince Edward Island ,"Theft under $5,000",2736,1998.89
2002,Prince Edward Island ,Trespass,19,13.88
2002,Prince Edward Island ,Weapons violations,34,24.84
2002,Quebec ,Attempted murder,235,3.16
2002,Quebec ,Counterfeiting,876,11.77
2002,Quebec ,Drug violations,19987,268.6
2002,Quebec ,Firearms related crime,261,3.51
2002,Quebec ,Fraud,18442,247.84
2002,Quebec ,Homicide,118,1.59
2002,Quebec ,Impaired driving,19613,263.58
2002,Quebec ,Motor vehicle theft,36942,496.46
2002,Quebec ,Prostitution,833,11.19
2002,Quebec ,Robbery,7739,104
2002,Quebec ,Sexual violations against children,0,0
2002,Quebec ,"Theft over $5,000",6607,88.79
2002,Quebec ,"Theft under $5,000",113038,1519.11
2002,Quebec ,Trespass,311,4.18
2002,Quebec ,Weapons violations,952,12.79
2002,Saskatchewan ,Attempted murder,29,2.91
2002,Saskatchewan ,Counterfeiting,45,4.51
2002,Saskatchewan ,Drug violations,3479,349.02
2002,Saskatchewan ,Firearms related crime,133,13.34
2002,Saskatchewan ,Fraud,4183,419.64
2002,Saskatchewan ,Homicide,27,2.71
2002,Saskatchewan ,Impaired driving,5943,596.21
2002,Saskatchewan ,Motor vehicle theft,6922,694.42
2002,Saskatchewan ,Prostitution,268,26.89
2002,Saskatchewan ,Robbery,1199,120.28
2002,Saskatchewan ,Sexual violations against children,0,0
2002,Saskatchewan ,"Theft over $5,000",504,50.56
2002,Saskatchewan ,"Theft under $5,000",28993,2908.6
2002,Saskatchewan ,Trespass,160,16.05
2002,Saskatchewan ,Weapons violations,738,74.04
2002,Yukon ,Attempted murder,1,3.29
2002,Yukon ,Counterfeiting,1,3.29
2002,Yukon ,Drug violations,385,1268.2
2002,Yukon ,Firearms related crime,15,49.41
2002,Yukon ,Fraud,134,441.4
